Timestamp;What is your position on systemd?;Have you tried systemd?;Do you feel that systemd is breaking the UNIX philosophy?;Do you feel that systemd is bloated?;Do you feel that systemd is modular?;Do you feel that systemd is monolithic?;Do you feel that systemd is eating up other project?;What do you think about http://0pointer.de/blog/projects/why.html?;Have you been frustrated by bugs in systemd?;Do you feel obligated to use systemd?;Are you afraid systemd will destroy the GNU/Linux ecosystem?;Is systemd stopping you from using some other software?;Are you vocal about systemd?;What is your position on Red Hat?;What is your position on Avahi?;What is your position on PulseAudio?;What is your position on D-Bus?;What is your position on kdbus?;What is your position on Docker?;Do you use containerisation?;Do you use socket activation;Do you use D-Bus activation;Do you use cron?;Do you use at?;Do you encrypt your /?;Do you encrypt any other partition, besides swap?;Do you use swap?;Do you use a graphical boot?;What do you call GNU/Linux?;What is your position on smartphones?;Do you use an FSF endorsed distro?;What is your position on free software versus open source?;Are you a distro developer?;Are you a web developer?;Are you a non-web developer?;Are you a system administrator?;Are you a gamer?;Do you like the Web?;Do you like Gopher?;Do you like new and shiny?;Are you a fan of suckless.org software?;Are you a GNU Hurd fan?;What is the most important about a distro, besides freedom?;What is the second most important about a distro, besides freedom?;What is the least important about a distro, besides freedom?;Do you prefer word processors over text editors?;Do you prefer LaTeX or LibreOffice?;What text editor do you use?;Do you use an integrated development environment?;What type of window manager do you prefer?;What display server do you want to be the future?;Which operating systems do you use?;Which is your perfered operating system?;Which operating systems have you used, including currently used?;How often do you use GNU/Linux at home?;What type of distro do you perfer?;What command line shell do you use?;What is your terminal usage?;Do you use the TTY?;Do you use a login manager?;What kind of computers are you using?;When did you start using GNU, or Linux?;How old are you?;What is the highest education level you have completed?;Was you highest education level degree in computer science?;What education level are you currently engaged in?;Are you currently engaged in getting a degree in computer science?;What gender do you identify as?;Do you watch the Linux Action Show?;Do you watch Linux Unplugged?;Do you watch BSD Now?;Any comments?
11/21/2014 9:10:03;In favour;Yes;Don't know;No;Yes;Yes;Yes, but I do not mind that;Helpful;No;No;No;No;No;I love them;Neither;In favour;In favour;Neither;In favour;Yes;No;No;Yes;What is that?;No;No;Yes;Yes;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;Yes, full-stack;Yes;Yes;Yes;No;Yes;What is that?;No;Flexibility;Performance;Small;No;LibreOffice, or similar;Other;No;Stacking;Wayland;GNU/Linux, *BSD, *Solaris, OS X, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, OS X, Windows or ReactOS, Haiku or BeOS;40–60 %;Advanced;bash;I live in the terminal;No;Depends on which computer a use;Server, Desktop, Laptop, PDA;2000–2003;26–29;College;No;Postgraduate;Yes;Male;No;No;Sometimes;
11/21/2014 9:11:16;In favour;Yes;No;No;Yes;No;Yes, but I do not mind that;Helpful;No;No;No;No;No;Neutral;Neither;In favour;In favour;In favour;In favour;No;Yes;No;Yes;What is that?;No;No;No;Yes;By the name of the distribution I use;In favour;No, or yes but not because it is free;I'm for free software;No;No;Yes, full-stack;Yes;No;Yes;Neither;Yes;What is that?;No;Stability;Flexibility;Small;No;LaTeX, or similar;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, OS X, Windows or ReactOS;100 %;Advanced;zsh;I live in the terminal;No;Yes;Server, Desktop, Ultrabook;2000–2003;26–29;4 years university or university college, or longer;No;None;No;Male;No;No;No;
11/21/2014 9:16:45;In favour;Yes;Don't know;Don't know;Don't know;Yes;No;I have no opinion;No;Yes;No;No;No;Neutral;Neither;In favour;Neither;In favour;In favour;No;No;Yes;Yes;No;No;No;Yes;No;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;Yes, full-stack;Yes;A little;Yes;Neither;Yes;Some of it;No;Bleeding edge;Small;Security;No;What is LaTeX?;Vi-family;Yes;Tiling, or dynamic;Wayland;GNU/Linux, OS X, Windows or ReactOS;OS X;GNU/Linux, *BSD, Plan 9 from Bell Labs, OS X, Windows or ReactOS;60–80 %;Advanced;zsh;I live in the terminal;Yes;Yes;Server, Desktop, Ultrabook;2008–2011;18–21;High school;No;4 years university or university college, or longer;Yes;Male;No;No;No;
11/21/2014 9:17:26;In favour;Yes;No;No;Yes;Yes;Yes, but I do not mind that;I have no opinion;No;No;No;No;No;Irrelevant, systemd is not a Red Hat project;What is that?;In favour;In favour;In favour;In favour;No;No;Yes;No;What is that?;No;No;No;No;Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;No;No;Yes;Yes;What is that?;Yes;No, it is stupid;No;Performance;Stability;Bleeding edge;Yes;LaTeX, or similar;Vi-family;Yes;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Advanced;zsh;Occasional;Yes;Yes;Server, Desktop, Laptop;2008–2011;18–21;College;Yes;College;Yes;Male;Sometimes;No;No;
11/21/2014 9:17:59;In favour;Yes;A bit;No;Yes;No;Yes, but I do not mind that;Helpful;No;No;No;No;Yes;Neutral;Neither;In favour;In favour;In favour;In favour;No;Yes;Yes;No;No;No;No;No;Yes;GNU/Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;No;No;A little;Yes;What is that?;Yes;Some of it;No;Bleeding edge;Flexibility;Shiny;No;LibreOffice, or similar;Vi-family;No;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, OS X, Windows or ReactOS;100 %;Advanced;fish;Drop-down terminal;Yes;Yes;Server, Desktop;2008–2011;22–25;High school;No;4 years university or university college, or longer;No;Male;Sometimes;Sometimes;Sometimes;
11/21/2014 9:24:56;Neither;Yes;Yes;Yes;Don't know;Don't know;Yes, but I do not mind that;Legit;No;Yes;No;Yes, but only by its adoption by that software;No;Irrelevant, systemd is not a Red Hat project;In favour;In favour;In favour;In favour;Neither;No;No;No;Yes;No;No;Yes;Yes;Yes;GNU/Linux;Against;No, or yes but not because it is free;I'm for free software;No;No;Yes, back-end (exclusively or preferably);Yes;A little;Yes;What is that?;Yes;What is that?;Yes;Stability;Shiny;Small;No;LaTeX, or similar;Vi-family;Yes;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, OS X;100 %;Beginner's;bash;Occasional;Yes;Yes;Server, Ultrabook;2008–2011;22–25;4 years university or university college, or longer;Yes;4 years university or university college, or longer;No;Male;Yes;Sometimes;No;
11/21/2014 9:26:33;Against;Yes;Yes;Yes;No;Yes;Yes, but I do not mind that;Biased;Yes;No;Yes;No;No;Neither;Against;Against;;Against;In favour;Yes;What is that?;What is that?;Yes;No;Yes;Yes;No;No;Linux;In favour;No, or yes but not because it is free;I'm for free software;No;Yes, back-end (exclusively or preferably);Yes, back-end (exclusively or preferably);Yes;No;Yes;Yes;Yes;Some of it;No;Performance;Security;Stability;No;LaTeX, or similar;Emacs-family;No;Tiling, or dynamic;Neither;OS X;OS X;GNU/Linux, *BSD, Plan 9 from Bell Labs, *Solaris, UNIX, OS X, Windows or ReactOS;0–20 %;Advanced;zsh;I live in the terminal;Yes;Depends on which computer a use;Server, Laptop, Other;1996–1999;30–39;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/21/2014 9:28:36;In favour;Yes;A bit;No;Yes;Yes;Yes, but I do not mind that;I have no opinion;No;Yes;No;No;No;I love them;What is that?;In favour;In favour;Neither;In favour;No;No;Yes;Yes;Yes;No;No;No;Yes;Linux;In favour;Yes, but not exclusively;I'm for open source;No;No;No;Yes;Yes;Yes;Yes;Yes;What is that?;Yes;Other;Bleeding edge;Small;No;LibreOffice, or similar;Vi-family;I'm not a developer;Tiling, or dynamic;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Advanced;bash;I live in the terminal;Yes;Yes;Server, Laptop, Tablet;2008–2011;30–39;College;Yes;College;Yes;Male;Yes;Sometimes;No;
11/21/2014 9:29:10;In favour;Yes;A bit;Yes;Yes;No;Yes;Helpful;Yes;No;Yes;No;No;Neutral;Neither;Neither;Neither;In favour;Neither;Yes;Yes;No;Yes;No;No;No;Yes;No;GNU/Linux;In favour;No, or yes but not because it is free;I'm for free software;No;Yes, full-stack;Yes, full-stack;Yes;No;Neither;Neither;Neither;Some of it;No;Flexibility;Stability;Bleeding edge;No;LibreOffice, or similar;Vi-family;No;Stacking;Wayland;GNU/Linux, OS X, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, UNIX, OS X, Windows or ReactOS, Haiku or BeOS;60–80 %;Advanced;bash;I live in the terminal;Yes;Depends on which computer a use;Server, Desktop, Laptop, Ultrabook, Netbook, Tablet;1992–1995;30–39;College;No;None;No;Male;No;No;No;
11/21/2014 9:30:00;In favour;Yes;No;No;Yes;No;Yes, but I do not mind that;Helpful;No;No;No;No;Yes;Neutral;In favour;In favour;In favour;In favour;Neither;No;No;No;Yes;Yes;No;Yes;Yes;Yes;Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;Yes, full-stack;Yes;A little;Yes;Neither;Yes;What is that?;No;Security;Flexibility;Small;No;LaTeX, or similar;Vi-family;No;What does all of this mean?;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, OS X;100 %;Advanced;bash;I live in the terminal;No;Yes;Server, Desktop, Laptop;2000–2003;30–39;Postgraduate;No;None;No;Male;No;No;No;
11/21/2014 9:31:53;In favour;Yes;No;No;Yes;No;Yes, but I do not mind that;Helpful;No;No;No;No;No;Neutral;In favour;In favour;Neither;In favour;In favour;No;Yes;No;Yes;What is that?;No;No;Yes;Yes;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;Yes, full-stack;Yes, back-end (exclusively or preferably);Yes;A little;Yes;No;Yes;No;No;Flexibility;Stability;Bleeding edge;No;LibreOffice, or similar;Vi-family;No;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Beginner's;zsh;I live in the terminal;No;Yes;Server, Desktop, Laptop, Tablet;2008–2011;22–25;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/21/2014 9:32:15;In favour;Yes;A bit;Yes;Don't know;Yes;No;Biased;No;Yes;No;No;No;I love them;What is that?;In favour;Neither;Neither;In favour;No;No;No;Yes;What is that?;Yes;Yes;Yes;Yes;Linux;Neither;No, or yes but not because it is free;I'm for free software;No;No;No;Yes;Yes;Yes;What is that?;Yes;What is that?;Yes;Performance;Privacy;Shiny;No;LibreOffice, or similar;Vi-family;I'm not a developer;Tiling, or dynamic;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, Windows or ReactOS;60–80 %;Advanced;bash;I live in the terminal;Yes;Yes;Server, Desktop, Laptop, Tablet, PDA;2004–2007;26–29;3 years university or university college, or shorter;Yes;None;No;Male;No;No;No;
11/21/2014 9:34:14;In favour;Yes;A bit;No;Yes;No;No;I have no opinion;No;No;No;No;No;Neutral;Neither;In favour;In favour;In favour;In favour;No;Yes;No;Yes;No;Yes;No;Yes, encrypted;No;Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;No;No;A little;Neither;What is that?;Yes;Some of it;No;Security;Bleeding edge;Small;No;LaTeX, or similar;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Advanced;zsh;Occasional;Yes;Yes;Desktop, Ultrabook;2008–2011;22–25;High school;Yes;4 years university or university college, or longer;Yes;Male;No;No;No;
11/21/2014 9:34:32;Against;Yes;Yes;Yes;Yes;No;Yes;Biased;Yes;Yes;Yes;Yes;Yes;Neutral;Neither;Against;Neither;Neither;Neither;No;No;No;Yes;No;No;No;Yes;No;GNU+Linux;Neither;No, or yes but not because it is free;I'm for open source;No;Yes, full-stack;Yes, full-stack;Yes;A little;Yes;No;No;What is that?;No;Stability;Flexibility;Shiny;Yes;LibreOffice, or similar;Vi-family;Yes;Tiling, or dynamic;Wayland;GNU/Linux, *BSD, *Solaris, UNIX, OS X, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, UNIX, OS X, Windows or ReactOS, Other;40–60 %;Advanced;bash;Occasional;No;No;Server, Desktop, Laptop;1996–1999;30–39;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/21/2014 9:38:18;Neither;Yes;No;No;Yes;No;No;Helpful;No;No;No;No;No;Neutral;In favour;In favour;Neither;Neither;What is that?;What is that?;Yes;Yes;Yes;What is that?;No;No;Yes;No;By the name of the distribution I use;Against;No, or yes but not because it is free;I'm for free software;No;No;Yes, back-end (exclusively or preferably);Yes;A little;Yes;Neither;Yes;No, it is stupid;No;Stability;Security;Bleeding edge;No;LaTeX, or similar;Vi-family;Yes;Stacking;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, Windows or ReactOS, Haiku or BeOS;80–100 %;Advanced;zsh;Occasional;No;Yes;Server, Desktop;2004–2007;26–29;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/21/2014 9:38:52;In favour;Yes;No;No;Don't know;Don't know;No;I have no opinion;No;No;No;No;No;Irrelevant, systemd is not a Red Hat project;What is that?;Neither;Neither;Neither;Neither;No;Yes;Yes;No;No;No;No;Yes;Yes;By the name of the distribution I use;Neither;No, or yes but not because it is free;I'm for free software;No;Yes, full-stack;No;Yes;Yes;Yes;What is that?;Yes;Some of it;Yes;Stability;Flexibility;Shiny;No;LibreOffice, or similar;Other;Yes;Stacking;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux;60–80 %;Advanced;bash;I live in the terminal;Yes;Yes;Server, Desktop, Netbook;2004–2007;26–29;College;No;College;No;Male;No;No;No;
11/21/2014 9:45:12;In favour;Yes;A bit;No;Yes;Yes;Yes, but I do not mind that;Helpful;No;No;No;No;No;Neutral;Neither;Neither;Neither;Neither;Against;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;GNU/Linux;In favour;Yes, but not exclusively;I'm for free software;No;Yes, full-stack;Yes, back-end (exclusively or preferably);Yes;A little;Yes;Yes;Yes;Some of it;No;Flexibility;Bleeding edge;Shiny;No;LibreOffice, or similar;Emacs-family;Yes;Stacking;Wayland;GNU/Linux, *BSD, OS X, Windows or ReactOS;OS X;GNU/Linux, *BSD, UNIX, OS X, Windows or ReactOS, Other;20–40 %;Advanced;bash;I live in the terminal;Yes;No;Server, Desktop, Laptop, Ultrabook;2008–2011;22–25;High school;Yes;None;Yes;Male;No;No;No;
11/21/2014 9:47:49;Against;No;A bit;Yes;No;Yes;Yes;Biased;No;Yes;No;No;No;Neither;What is that?;Against;Neither;Neither;In favour;No;What is that?;What is that?;Yes;No;Yes;Yes;Yes;Yes;Linux;In favour;Yes;I'm for open source;No;No;Yes, full-stack;No;Yes;Yes;What is that?;No;;What is that?;Security;Bleeding edge;Shiny;No;LaTeX, or similar;Vi-family;No;Stacking;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux;80–100 %;Beginner's;zsh;I live in the terminal;No;Yes;Desktop, Laptop;1996–1999;30–39;4 years university or university college, or longer;No;Postgraduate;No;Male;Sometimes;No;No;
11/21/2014 9:49:51;In favour;Yes;No;No;Yes;No;Don't know;I have no opinion;No;No;No;No;No;Neutral;Against;In favour;Neither;In favour;In favour;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Linux;Neither;No, or yes but not because it is free;Neither;No;Yes, full-stack;Yes, back-end (exclusively or preferably);Yes;A little;Yes;No;Neither;No, it is stupid;No;Stability;Performance;Shiny;No;LaTeX, or similar;Vi-family;Yes;Stacking;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, Windows or ReactOS;80–100 %;Advanced;fish;I live in the terminal;Yes;Depends on which computer a use;Server, Desktop, Laptop;2000–2003;26–29;4 years university or university college, or longer;No;Postgraduate;No;Male;Sometimes;Sometimes;Sometimes;
11/21/2014 9:53:29;In favour;Yes;No;No;Yes;Don't know;No;Helpful;No;No;No;No;Yes;Irrelevant, systemd is not a Red Hat project;In favour;In favour;In favour;In favour;In favour;No;What is that?;Yes;No;What is that?;No;No;Yes;Yes;GNU/Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;No;Yes;A little;Yes;What is that?;Yes;Yes;No;Performance;Flexibility;Bleeding edge;Yes;LibreOffice, or similar;Other;I'm not a developer;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Advanced;bash;Drop-down terminal;No;Yes;Desktop;2008–2011;30–39;4 years university or university college, or longer;No;None;No;Male;Yes;Yes;Sometimes;
11/21/2014 9:55:10;In favour;Yes;Don't know;No;Yes;No;Yes, but I do not mind that;Legit;No;No;No;No;No;Irrelevant, systemd is not a Red Hat project;What is that?;Neither;Neither;Neither;Neither;No;What is that?;What is that?;What is that?;What is that?;No;No;Yes;No;Linux;Neither;No, or yes but not because it is free;I'm for free software;No;No;No;No;Yes;Yes;Neither;Yes;What is that?;No;Performance;Bleeding edge;Stability;Yes;LibreOffice, or similar;Other;I'm not a developer;Stacking;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, Windows or ReactOS;60–80 %;Advanced;bash;Occasional;Yes;Depends on which computer a use;Desktop, Ultrabook;2008–2011;18–21;High school;Yes;None;No;Male;Yes;Yes;Sometimes;
11/21/2014 9:59:19;In favour;Yes;No;No;Yes;No;No;Legit;No;Yes;No;No;Yes;Irrelevant, systemd is not a Red Hat project;What is that?;In favour;In favour;In favour;In favour;No;Yes;Yes;Yes;What is that?;No;No;Yes;Yes;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;Yes, back-end (exclusively or preferably);No;Yes;Yes;What is that?;Yes;What is that?;No, I hate it;Stability;Bleeding edge;Small;Yes;LaTeX, or similar;Other;Yes;Stacking;Wayland;Windows or ReactOS;Windows or ReactOS;GNU/Linux, OS X, Windows or ReactOS;0–20 %;Beginner's;bash;Rare;What is that?;What is that?;Desktop;1996–1999;30–39;4 years university or university college, or longer;Yes;Postgraduate;Yes;Male;Sometimes;No;No;
11/21/2014 9:59:58;In favour;Yes;Don't know;No;Yes;No;Yes, but I do not mind that;Helpful;No;No;No;No;No;Neutral;In favour;;In favour;In favour;In favour;No;Yes;No;No;No;No;No;Yes;Yes;Linux;In favour;No, or yes but not because it is free;Neither;No;Yes, full-stack;No;Yes;Yes;Yes;Neither;Yes;No;No;Flexibility;Stability;Shiny;No;LaTeX, or similar;Other;Yes;Stacking;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, *Solaris, OS X, Windows or ReactOS;60–80 %;Advanced;bash;Drop-down terminal;Yes;Yes;Desktop, Portable, Tablet;2000–2003;30–39;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/21/2014 10:08:14;Against;Yes;Yes;Yes;No;Yes;Yes;FUD;No;No;Yes;No;No;Neutral;Against;Against;Neither;Neither;Against;No;No;No;Yes;No;No;No;No;No;Linux;Neither;No, or yes but not because it is free;Neither;No;No;Yes, full-stack;Yes;Yes;Yes;No;Yes;No;No;Flexibility;Stability;Shiny;No;LaTeX, or similar;Other;Yes;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Advanced;bash;Drop-down terminal;No;Yes;Server, Desktop, Laptop;2004–2007;26–29;4 years university or university college, or longer;Yes;4 years university or university college, or longer;Yes;Male;No;No;No;
11/21/2014 10:09:39;In favour;Yes;Yes;No;No;Yes;Don't know;I have no opinion;No;No;Yes;No;No;Irrelevant, systemd is not a Red Hat project;Neither;Against;Neither;In favour;In favour;No;Yes;No;Yes;What is that?;No;No;No;No;By the name of the distribution I use;Against;No, or yes but not because it is free;I'm for free software;No;No;Yes, back-end (exclusively or preferably);Yes;Yes;Yes;What is that?;No;No;No;Flexibility;Performance;Security;No;LaTeX, or similar;Other;No;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, OS X, Windows or ReactOS, Other UNIX-like;100 %;Advanced;bash;Drop-down terminal;Yes;No;Server, Desktop, Laptop, Tablet;2000–2003;26–29;High school;No;3 years university or university college, or shorter;Yes;Neither;No;No;No;
11/21/2014 10:11:10;Against;Yes;Yes;Yes;Yes;No;Yes;Biased;Yes;No;No;No;No;Irrelevant, systemd is not a Red Hat project;Neither;In favour;Against;Against;In favour;Yes;No;No;Yes;No;Yes;Yes;Yes, encrypted;No;GNU+Linux;Against;No, or yes but not because it is free;I'm for free software;No;No;No;Yes;A little;No;Yes;No;Yes;No;Flexibility;Small;Shiny;Yes;LibreOffice, or similar;Vi-family;Yes;Tiling, or dynamic;Wayland;GNU/Linux, *BSD, Plan 9 from Bell Labs, Windows or ReactOS;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, Plan 9 from Bell Labs, *Solaris, UNIX, Windows or ReactOS, Haiku or BeOS, Other UNIX-like, Other;80–100 %;Advanced;zsh;I live in the terminal;Yes;No;Server, Desktop, Laptop, Netbook, Other;2008–2011;18–21;3 years university or university college, or shorter;;4 years university or university college, or longer;No;Male;No;No;No;
11/21/2014 10:14:48;In favour;Yes;No;No;Yes;No;No;Legit;No;No;No;No;No;Neutral;Neither;In favour;Neither;In favour;Neither;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes, encrypted;No;GNU/Linux;Neither;No, or yes but not because it is free;I'm for free software;No;Yes, full-stack;Yes, full-stack;Yes;Yes;Yes;No;Neither;Some of it;Yes;Security;Stability;Shiny;No;LaTeX, or similar;Emacs-family;No;Tiling, or dynamic;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, Windows or ReactOS;100 %;Beginner's;bash;Drop-down terminal;Yes;Depends on which computer a use;Server, Desktop, Laptop;2000–2003;30–39;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/21/2014 10:18:50;Against;Yes;Yes;Yes;No;Yes;Yes;Biased;No;Yes;Yes;Yes, but only by its adoption by that software;No;Neutral;What is that?;Against;Neither;What is that?;Neither;No;No;No;Yes;No;No;No;Yes;No;By the name of the distribution I use;Neither;No, or yes but not because it is free;I'm for open source;Yes;Yes, full-stack;Yes, full-stack;Yes;Yes;Yes;What is that?;Neither;Some of it;Yes;Flexibility;Bleeding edge;Shiny;No;LaTeX, or similar;Vi-family;Yes;Tiling, or dynamic;X;GNU/Linux;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, OS X, Windows or ReactOS, Other;100 %;Advanced;bash;I live in the terminal;Yes;No;Server, Desktop, Laptop, Netbook;2000–2003;26–29;College;No;None;No;Male;Yes;Yes;No;
11/21/2014 10:22:25;In favour;Yes;No;No;Yes;No;No;I have no opinion;No;No;No;No;No;Neutral;In favour;In favour;In favour;In favour;In favour;Yes;No;No;Yes;No;Yes;Yes;Yes, encrypted;Yes;Linux;In favour;No, or yes but not because it is free;Neither;No;Yes, full-stack;No;Yes;Yes;Yes;No;Yes;What is that?;No;Flexibility;Bleeding edge;Small;No;LibreOffice, or similar;Vi-family;Yes;Stacking;Wayland;GNU/Linux, *BSD, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, Windows or ReactOS;100 %;Advanced;bash;Occasional;Yes;Yes;Server, Desktop, Laptop, Tablet;1996–1999;26–29;High school;No;None;No;Male;Yes;Yes;Sometimes;
11/21/2014 10:24:16;Against;Yes;Yes;Yes;Yes;Yes;Yes;Biased;Yes;No;Yes;Yes;Yes;Neutral;What is that?;Neither;Neither;Neither;Neither;Yes;No;No;Yes;No;No;Yes;Yes, encrypted;No;GNU/Linux;Neither;No, or yes but not because it is free;I'm for open source;No;No;No;Yes;Yes;Yes;What is that?;Yes;What is that?;No;Flexibility;Stability;Shiny;No;LibreOffice, or similar;Emacs-family;No;Stacking;Neither;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, OS X, Windows or ReactOS;100 %;Beginner's;bash;Occasional;Yes;Yes;Desktop, Laptop;1996–1999;26–29;College;Yes;3 years university or university college, or shorter;Yes;Male;No;No;No;
11/21/2014 10:32:00;In favour;Yes;No;No;Yes;No;No;Helpful;No;No;No;No;No;I hate them;What is that?;Neither;Neither;Neither;In favour;Yes;No;No;No;No;No;Yes;Yes;No;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;Yes, back-end (exclusively or preferably);Yes, back-end (exclusively or preferably);No;A little;Yes;No;Neither;What is that?;No;Stability;Privacy;Shiny;No;LaTeX, or similar;Emacs-family;Yes;Tiling, or dynamic;X;GNU/Linux, OS X, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, OS X, Windows or ReactOS;60–80 %;Advanced;bash;I live in the terminal;No;Yes;Server, Desktop, Laptop;1996–1999;30–39;4 years university or university college, or longer;Yes;Postgraduate;No;Male;No;No;No;
11/21/2014 10:32:09;In favour;Yes;A bit;No;No;Yes;No;Helpful;No;No;No;No;No;Neutral;Neither;Neither;Neither;Neither;Neither;Yes;No;Yes;Yes;No;No;No;Yes;Yes;GNU/Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;No;Yes;A little;Yes;Neither;Yes;No;No;Flexibility;Stability;Shiny;No;LaTeX, or similar;Vi-family;I'm not a developer;Stacking;Wayland;GNU/Linux, *BSD, Windows or ReactOS, Other;*BSD;GNU/Linux, *BSD, Windows or ReactOS, Haiku or BeOS, Other;80–100 %;Advanced;bash;I live in the terminal;Yes;Yes;Server, Desktop, Ultrabook, Other;2000–2003;26–29;High school;No;College;Yes;Male;Sometimes;Sometimes;Sometimes;
11/21/2014 10:32:54;In favour;Yes;No;No;Yes;No;No;Legit;No;No;No;No;No;Irrelevant, systemd is not a Red Hat project;What is that?;In favour;Neither;In favour;What is that?;What is that?;Yes;Yes;No;No;No;Yes;Yes;No;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;Yes, back-end (exclusively or preferably);No;A little;Yes;What is that?;Neither;Some of it;No;Other;Other;Other;No;LaTeX, or similar;Emacs-family;Yes;Stacking;Wayland;GNU/Linux, Windows or ReactOS;Windows or ReactOS;GNU/Linux, *BSD, Windows or ReactOS, Other;40–60 %;Advanced;zsh;Drop-down terminal;Yes;No;Desktop, Laptop;2004–2007;30–39;;;;;;No;No;No;
11/21/2014 10:38:52;Neither;Yes;Yes;Yes;No;Yes;Yes;Legit;Yes;Yes;No;No;No;Neutral;Neither;Neither;Neither;Neither;Neither;No;No;No;Yes;Yes;No;Yes;Yes;No;GNU+Linux;In favour;No, or yes but not because it is free;I'm for free software;Yes;Yes, full-stack;Yes, full-stack;Yes;A little;Yes;No;Yes;What is that?;No;Flexibility;Security;Performance;No;LaTeX, or similar;Vi-family;No;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, *BSD, Windows or ReactOS;100 %;Advanced;bash;I live in the terminal;Yes;Depends on which computer a use;Server, Desktop, Laptop, Netbook;1996–1999;30–39;College;No;None;No;Male;Sometimes;Sometimes;Sometimes;
11/21/2014 10:39:22;In favour;No;No;No;;Yes;No;I have no opinion;No;No;No;No;No;Neither;In favour;In favour;In favour;What is that?;In favour;Yes;What is that?;What is that?;Yes;;Yes;Yes;Yes, encrypted;Yes;By the name of the distribution I use;In favour;Yes, but not exclusively;I'm for free software;No;Yes, back-end (exclusively or preferably);Yes, back-end (exclusively or preferably);Yes;A little;Yes;Neither;Yes;;Yes;Stability;Flexibility;Shiny;No;LaTeX, or similar;Emacs-family;No;Tiling, or dynamic;X;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;80–100 %;Advanced;bash;I live in the terminal;Yes;Yes;Server, Desktop, Laptop, Tablet;1996–1999;30–39;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
